Loan_ID,Dependents,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Gender_Male,Married_Yes,Graduate_Yes,Self_Employed_Yes,Loan_Status_Yes,z_score,CoapplicantIncome_ss,ApplicantIncome_ms,CoapplicantIncome_tf
LP001002,0,5849.0,0.0,146.41216216216216,360.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.23936292727780337,-0.8798716403966507,0.5705275803383723,0.774174103574293
LP001003,1,4583.0,1508.0,128.0,360.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,-0.0935965166407371,0.05025487058074581,0.443788166983682,0.002525552017087511
LP001005,0,3000.0,0.0,66.0,360.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,-1.2147839872449675,-0.8798716403966507,0.2853138452297527,0.774174103574293
LP001006,0,2583.0,2358.0,120.0,360.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,-0.23826586768644425,0.5745304238504985,0.24356792471718894,0.3300852079298334
LP001008,0,6000.0,0.0,141.0,360.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.14149117880853698,-0.8798716403966507,0.5856442086294925,0.774174103574293
LP001011,2,5417.0,4196.0,267.0,360.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.4200334577784246,1.7081992084502695,0.5272800080088097,2.9179445357501272
LP001013,0,2333.0,1516.0,95.0,360.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,-0.6903575897042791,0.05518922872916701,0.21854039443387727,0.0030458509677203133
LP001014,3,3036.0,2504.0,158.0,360.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.44891354978066467,0.6645824600591854,0.2889178095905496,0.4416698462183188
LP001018,2,4006.0,1526.0,168.0,360.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.6297502385877985,0.061357176414693515,0.38602462708979873,0.003764703097583822
LP001024,2,3200.0,700.0,70.0,360.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,-1.142449311722114,-0.4481153024097956,0.305335869456402,0.20080732425382256
LP001027,2,2500.0,1840.0,109.0,360.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,-0.4371862253742916,0.25503073374022567,0.23525878466312947,0.06504067515207788
LP001028,2,3073.0,8106.0,200.0,360.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.208427642770627,4.119866753491132,0.2926218840724797,16.97330206652156
LP001029,0,1853.0,2840.0,114.0,360.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,-0.3467678809707246,0.8718255022928759,0.17048753628991892,0.7600797064482254
LP001030,2,1299.0,1086.0,17.0,120.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,-2.1008837623999237,-0.2100325217484726,0.11502652918210031,0.04411366019202261
LP001032,0,4950.0,0.0,125.0,360.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,-0.14784752328287729,-0.8798716403966507,0.4805285814395835,0.774174103574293
LP001034,1,3596.0,0.0,100.0,240.0,0.8421985815602837,0.0,1.0,0.0,0.0,0.0,1.0,-0.5999392453007121,-0.8798716403966507,0.34497947742516766,0.774174103574293
LP001036,0,3510.0,0.0,76.0,360.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0339472984378335,-0.8798716403966507,0.33637000700770847,0.774174103574293
LP001038,0,4887.0,0.0,133.0,360.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,-0.0031781722371701467,-0.8798716403966507,0.474221643808189,0.774174103574293
LP001041,0,2600.0,3500.0,115.0,342.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,-0.3286842120900112,1.278910049537625,0.24526979677645408,1.6356109148083307
LP001043,0,7660.0,0.0,104.0,360.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-0.5276045697778585,-0.8798716403966507,0.7518270097106817,0.774174103574293
LP001047,0,2600.0,1911.0,116.0,360.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,-0.3106005432092978,0.29882316230746386,0.24526979677645408,0.0892952823314329
LP001050,2,3365.0,1917.0,112.0,360.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,-0.38293521873215136,0.30252393091877977,0.3218540394433877,0.09152072877855064
LP001052,1,3717.0,2925.0,151.0,360.0,0.8421985815602837,1.0,1.0,1.0,1.0,0.0,0.0,0.3223278676156709,0.9242530576198512,0.3570928020822905,0.854243714519644
